2026-01-05 21:26:21 [INFO] ==== Merge Features Started (run_id=MERGE_20260105_212621) ====
2026-01-05 21:26:21 [INFO] Dry-run mode: False
2026-01-05 21:26:21 [INFO] Creating SQLAlchemy engine...
2026-01-05 21:26:22 [INFO] Connected to Azure SQL successfully.
2026-01-05 21:27:49 [INFO] Inserting batch 247 (100 rows)...
2026-01-05 21:27:49 [INFO] Inserting batch 248 (100 rows)...
2026-01-05 21:27:50 [INFO] Inserting batch 249 (100 rows)...
2026-01-05 21:27:50 [INFO] Inserting batch 250 (100 rows)...
2026-01-05 21:27:50 [INFO] Inserting batch 251 (100 rows)...
2026-01-05 21:27:50 [INFO] Inserting batch 252 (100 rows)...
2026-01-05 21:27:50 [INFO] Inserting batch 253 (100 rows)...
2026-01-05 21:27:50 [INFO] Inserting batch 254 (100 rows)...
2026-01-05 21:27:50 [INFO] Inserting batch 255 (100 rows)...
2026-01-05 21:27:50 [INFO] Inserting batch 256 (100 rows)...
2026-01-05 21:27:50 [INFO] Inserting batch 257 (100 rows)...
2026-01-05 21:27:50 [INFO] Inserting batch 258 (100 rows)...
2026-01-05 21:27:50 [INFO] Inserting batch 259 (100 rows)...
2026-01-05 21:27:51 [INFO] Inserting batch 260 (100 rows)...
2026-01-05 21:27:51 [INFO] Inserting batch 261 (100 rows)...
2026-01-05 21:27:51 [INFO] Inserting batch 262 (100 rows)...
2026-01-05 21:27:51 [INFO] Inserting batch 263 (100 rows)...
2026-01-05 21:27:51 [INFO] Inserting batch 264 (100 rows)...
2026-01-05 21:27:51 [INFO] Inserting batch 265 (100 rows)...
2026-01-05 21:27:51 [INFO] Inserting batch 266 (100 rows)...
2026-01-05 21:27:51 [INFO] Inserting batch 267 (100 rows)...
2026-01-05 21:27:51 [INFO] Inserting batch 268 (100 rows)...
2026-01-05 21:27:51 [INFO] Inserting batch 269 (100 rows)...
2026-01-05 21:27:51 [INFO] Inserting batch 270 (100 rows)...
2026-01-05 21:27:52 [INFO] Inserting batch 271 (100 rows)...
2026-01-05 21:27:52 [INFO] Inserting batch 272 (100 rows)...
2026-01-05 21:27:52 [INFO] Inserting batch 273 (100 rows)...
2026-01-05 21:27:52 [INFO] Inserting batch 274 (100 rows)...
2026-01-05 21:27:52 [INFO] Inserting batch 275 (100 rows)...
2026-01-05 21:27:52 [INFO] Inserting batch 276 (100 rows)...
2026-01-05 21:27:52 [INFO] Inserting batch 277 (100 rows)...
2026-01-05 21:27:52 [INFO] Inserting batch 278 (100 rows)...
2026-01-05 21:27:52 [INFO] Inserting batch 279 (100 rows)...
2026-01-05 21:27:52 [INFO] Inserting batch 280 (100 rows)...
